ibge_mun,iso_year,iso_week,precip_tot,temp_mean,temp_min,temp_max,umid_mean,vento_velocidade_horaria_m_s_mean,n_stations,sem_not,cases
110004,2024,46,34.6,27.25,23.4,32.8,74.77083333333333,1.5645833333333332,1.0,,0.0
110004,2024,48,0.0,25.59583333333333,22.8,31.0,80.79166666666667,0.9375,1.0,,0.0
110004,2024,49,1.4000000000000001,26.966666666666665,17.4,35.2,66.31547619047619,1.5607142857142857,1.0,,0.0
110004,2024,50,4.8,29.260416666666668,24.7,39.8,63.28125,1.325,1.0,,0.0
110020,2024,1,130.0,26.31190476190476,19.8,33.6,83.54761904761905,1.3238095238095238,1.0,,0.0
110020,2024,2,0.0,29.18409090909091,21.5,38.4,64.7840909090909,1.2918032786885245,1.0,,0.0
110020,2024,5,28.6,26.690625,22.7,33.4,83.72916666666667,1.1812500000000001,1.0,,0.0
110020,2024,6,0.0,28.225827814569538,21.2,38.1,68.65562913907284,1.275539568345324,1.0,,0.0
110020,2024,7,0.0,31.563636363636363,27.2,34.7,63.54545454545455,,1.0,,0.0
110020,2024,9,0.2,27.469444444444445,24.6,33.2,81.52777777777777,1.5444444444444445,1.0,,0.0
110020,2024,10,0.0,27.82934131736527,20.0,36.8,74.1437125748503,1.1545454545454545,1.0,,0.0
110020,2024,11,0.0,30.463636363636365,25.1,34.7,66.54545454545455,1.5454545454545454,1.0,,0.0
110020,2024,14,46.2,26.692261904761907,20.8,33.6,82.4702380952381,1.3279761904761904,1.0,,0.0
110020,2024,15,0.0,29.88076923076923,22.4,37.0,66.38461538461539,1.1241379310344828,1.0,,0.0
110020,2024,18,25.6,26.965833333333332,23.0,33.8,83.54166666666667,1.2241666666666666,1.0,,0.0
110020,2024,19,0.0,28.581746031746032,20.9,37.1,70.72222222222223,1.2625000000000002,1.0,,0.0
110020,2024,22,6.2,27.3875,24.1,33.6,80.5625,1.3604166666666666,1.0,,0.0
110020,2024,23,7.4,27.852469135802473,21.1,36.4,75.68518518518519,1.3121794871794872,1.0,,0.0
110020,2024,24,0.0,29.558823529411764,23.2,36.3,68.17647058823529,2.8083333333333336,1.0,,0.0
110020,2024,27,47.0,26.968452380952378,21.8,34.5,82.26190476190476,1.3946428571428573,1.0,,0.0
110020,2024,28,0.0,29.37142857142857,22.7,36.3,66.35064935064935,1.4,1.0,,0.0
110020,2024,31,0.8,27.259375000000002,23.2,34.6,83.4375,1.0479166666666666,1.0,,0.0
